columnName,typeData
CMPNYCD,varchar
RCVNO,varchar
LINEID,int
ORDER_LINE_NUMBER,int
ORDER_FRAME_MAKER,varchar
ORDER_FRAME_NAME,varchar
ORDER_FRAME_EYE_SIZE,int
ORDER_FRAME_DBL,int
ORDER_FRAME_COLOR,varchar
ORDER_FRAME_PARTS_TYPE,varchar
ORDER_REMARKS,varchar
ORDQTY,int
TLINE,varchar
STOCK_FRAME_MAKER,varchar
STOCK_FRAME_NAME,varchar
STOCK_FRAME_EYE_SIZE,int
STOCK_FRAME_DBL,int
STOCK_FRAME_COLOR,varchar
STOCK_FRAME_PARTS_TYPE,varchar
PRICE_FRAME_MAKER,varchar
PRICE_FRAME_NAME,varchar
PRICE_FRAME_EYE_SIZE,int
PRICE_FRAME_DBL,int
PRICE_FRAME_COLOR,varchar
PRICE_FRAME_PARTS_TYPE,varchar
PRICE_UNIT_PRICE,float
PRICE_DISCOUNT_RATE,int
PRICE_INPUT_FLAG,int
ANALYSIS_FRAME_CODE,varchar
PRIMARY KEY,(RCVNO)